#<time_stamp>;<sys_call>;<arguments;>
1400712883.19;open;4;0;0;0;1
1400712883.3;write;4;41408;512;1
1400712883.41;write;4;41920;4;1
1400712883.53;write;4;41924;1024;1
1400712883.63;write;4;42948;4;1
1400712883.73;write;4;42952;4;1
1400712883.83;write;4;42956;1024;1
1400712883.98;write;4;43980;4;1
1400712884.08;read;4;0;0;1
1400712884.18;open;6;0;0;0;2
1400712884.28;close;6;2
1400712884.38;write;4;43984;12;1
1400712884.48;write;3;49152;1024;0
1400712884.58;write;3;50176;1024;0
1400712884.68;write;3;51200;1024;0
1400712884.78;close;4;1
1400712884.89;read;3;2420;16;0
1400712884.98;open;4;0;0;0;1
1400712885.09;write;4;43996;512;1
1400712885.18;write;4;44508;4;1
1400712885.28;write;4;44512;1024;1
1400712885.39;write;4;45536;4;1
1400712885.49;write;4;45540;4;1
1400712885.59;write;4;45544;1024;1
1400712885.7;write;4;46568;4;1
1400712885.82;read;4;0;0;1
1400712885.92;open;6;0;0;0;2
1400712886.02;close;6;2
1400712886.21;write;4;46572;12;1
1400712886.34;write;3;52224;1024;0
1400712886.55;write;3;53248;1024;0
1400712886.65;write;3;54272;1024;0
1400712886.76;close;4;1
1400712886.89;read;3;2436;16;0
1400712887.01;open;4;0;0;0;1
1400712887.11;write;4;46584;512;1
1400712887.22;write;4;47096;4;1
1400712887.32;write;4;47100;1024;1
1400712887.42;write;4;48124;4;1
1400712887.57;write;4;48128;4;1
1400712887.67;write;4;48132;1024;1
1400712887.77;write;4;49156;4;1
1400712887.87;read;4;0;0;1
1400712887.97;open;6;0;0;0;2
1400712888.07;close;6;2
1400712888.17;write;4;49160;12;1
1400712888.28;write;3;55296;1024;0
1400712888.38;write;3;56320;1024;0
1400712888.48;write;3;57344;1024;0
1400712888.58;close;4;1
1400712888.68;read;3;2452;16;0
1400712888.79;open;4;0;0;0;1
1400712888.89;write;4;49172;512;1
1400712888.99;write;4;49684;4;1
1400712889.09;write;4;49688;1024;1
1400712889.19;write;4;50712;4;1
1400712889.3;write;4;50716;4;1
1400712889.41;write;4;50720;1024;1
1400712889.53;write;4;51744;4;1
1400712889.65;read;4;0;0;1
1400712889.76;open;6;0;0;0;2
1400712889.88;close;6;2
1400712890.0;write;4;51748;12;1
1400712890.11;write;3;58368;1024;0
1400712890.22;write;3;59392;1024;0
1400712890.32;write;3;60416;1024;0
1400712890.42;close;4;1
1400712890.53;read;3;2468;16;0
1400712890.62;open;4;0;0;0;1
1400712890.73;write;4;51760;512;1
1400712890.83;write;4;52272;4;1
1400712890.97;write;4;52276;1024;1
1400712891.07;write;4;53300;4;1
1400712891.18;write;4;53304;4;1
1400712891.29;write;4;53308;1024;1
1400712891.39;write;4;54332;4;1
1400712891.49;read;4;0;0;1
1400712891.59;open;6;0;0;0;2
1400712891.69;close;6;2
1400712891.8;write;4;54336;12;1
1400712891.9;write;3;61440;1024;0
1400712892.0;write;3;62464;1024;0
1400712892.1;write;3;63488;1024;0
1400712892.21;close;4;1
1400712892.36;read;3;2484;16;0
1400712892.46;open;4;0;0;0;1
1400712892.58;write;4;54348;512;1
1400712892.7;write;4;54860;4;1
1400712892.81;write;4;54864;1024;1
1400712892.96;write;4;55888;4;1
1400712893.08;write;4;55892;4;1
1400712893.19;write;4;55896;1024;1
1400712893.31;write;4;56920;4;1
1400712893.42;read;4;0;0;1
1400712893.51;open;6;0;0;0;2
1400712893.61;close;6;2
1400712893.71;write;4;56924;12;1
1400712893.81;write;3;64512;1024;0
1400712893.91;write;3;65536;1024;0
1400712894.01;write;3;66560;1024;0
1400712894.11;close;4;1
1400712894.21;read;3;2500;16;0
1400712894.31;open;4;0;0;0;1
1400712894.41;write;4;56936;512;1
1400712894.51;write;4;57448;4;1
1400712894.61;write;4;57452;1024;1
1400712894.71;write;4;58476;4;1
1400712894.82;write;4;58480;4;1
1400712894.92;write;4;58484;1024;1
1400712895.02;write;4;59508;4;1
