# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;49783;411.5;7.03665e-05;0.000186409
mtd_write;49784;411.5;7.03665e-05;0.000186409
mtd_write;49785;411.5;7.03665e-05;0.000186409
mtd_write;49786;411.5;7.03665e-05;0.000186409
mtd_write;49787;411.5;7.03665e-05;0.000186409
mtd_write;49788;411.5;7.03665e-05;0.000186409
mtd_write;49789;411.5;7.03665e-05;0.000186409
mtd_write;49790;411.5;7.03665e-05;0.000186409
mtd_write;49791;411.5;7.03665e-05;0.000186409
mtd_write;49664;411.5;7.03665e-05;0.000186409
mtd_write;49665;411.5;7.03665e-05;0.000186409
mtd_write;49666;411.5;7.03665e-05;0.000186409
mtd_write;49667;411.5;7.03665e-05;0.000186409
mtd_write;49668;411.5;7.03665e-05;0.000186409
mtd_write;49669;411.5;7.03665e-05;0.000186409
mtd_write;49670;411.5;7.03665e-05;0.000186409
mtd_write;49671;411.5;7.03665e-05;0.000186409
mtd_write;49672;411.5;7.03665e-05;0.000186409
mtd_write;49673;411.5;7.03665e-05;0.000186409
mtd_write;49674;411.5;7.03665e-05;0.000186409
mtd_write;49675;411.5;7.03665e-05;0.000186409
mtd_write;49676;411.5;7.03665e-05;0.000186409
mtd_write;49677;411.5;7.03665e-05;0.000186409
mtd_write;49678;411.5;7.03665e-05;0.000186409
mtd_write;49679;411.5;7.03665e-05;0.000186409
mtd_write;49680;411.5;7.03665e-05;0.000186409
mtd_write;49681;411.5;7.03665e-05;0.000186409
mtd_write;49682;411.5;7.03665e-05;0.000186409
mtd_write;49683;411.5;7.03665e-05;0.000186409
mtd_write;49684;411.5;7.03665e-05;0.000186409
mtd_write;49685;411.5;7.03665e-05;0.000186409
mtd_write;49686;411.5;7.03665e-05;0.000186409
mtd_write;49687;411.5;7.03665e-05;0.000186409
mtd_write;49688;411.5;7.03665e-05;0.000186409
mtd_write;49689;411.5;7.03665e-05;0.000186409
mtd_write;49690;411.5;7.03665e-05;0.000186409
mtd_write;49691;411.5;7.03665e-05;0.000186409
mtd_write;49692;411.5;7.03665e-05;0.000186409
mtd_write;49693;411.5;7.03665e-05;0.000186409
mtd_write;49694;411.5;7.03665e-05;0.000186409
mtd_write;49695;411.5;7.03665e-05;0.000186409
mtd_write;49696;411.5;7.03665e-05;0.000186409
mtd_write;49697;411.5;7.03665e-05;0.000186409
mtd_write;49698;411.5;7.03665e-05;0.000186409
mtd_write;49699;411.5;7.03665e-05;0.000186409
mtd_write;49700;411.5;7.03665e-05;0.000186409
mtd_write;49701;411.5;7.03665e-05;0.000186409
mtd_write;49702;411.5;7.03665e-05;0.000186409
mtd_write;49703;411.5;7.03665e-05;0.000186409
mtd_write;49704;411.5;7.03665e-05;0.000186409
mtd_write;49705;411.5;7.03665e-05;0.000186409
mtd_write;49706;411.5;7.03665e-05;0.000186409
mtd_write;49707;411.5;7.03665e-05;0.000186409
mtd_write;49708;411.5;7.03665e-05;0.000186409
mtd_write;49709;411.5;7.03665e-05;0.000186409
mtd_write;49710;411.5;7.03665e-05;0.000186409
mtd_write;49711;411.5;7.03665e-05;0.000186409
mtd_write;49712;411.5;7.03665e-05;0.000186409
mtd_write;49713;411.5;7.03665e-05;0.000186409
mtd_write;49714;411.5;7.03665e-05;0.000186409
mtd_write;49715;411.5;7.03665e-05;0.000186409
mtd_write;49716;411.5;7.03665e-05;0.000186409
mtd_write;49717;411.5;7.03665e-05;0.000186409
mtd_write;49718;411.5;7.03665e-05;0.000186409
mtd_write;49719;411.5;7.03665e-05;0.000186409
mtd_write;49720;411.5;7.03665e-05;0.000186409
mtd_write;49721;411.5;7.03665e-05;0.000186409
mtd_write;49722;411.5;7.03665e-05;0.000186409
mtd_write;49723;411.5;7.03665e-05;0.000186409
mtd_write;49724;411.5;7.03665e-05;0.000186409
mtd_write;49725;411.5;7.03665e-05;0.000186409
mtd_write;49726;411.5;7.03665e-05;0.000186409
mtd_write;49727;411.5;7.03665e-05;0.000186409
mtd_write;49600;411.5;7.03665e-05;0.000186409
mtd_write;49601;411.5;7.03665e-05;0.000186409
mtd_write;49602;411.5;7.03665e-05;0.000186409
mtd_write;49603;411.5;7.03665e-05;0.000186409
mtd_write;49604;411.5;7.03665e-05;0.000186409
mtd_write;49605;411.5;7.03665e-05;0.000186409
mtd_write;49606;411.5;7.03665e-05;0.000186409
mtd_write;49607;411.5;7.03665e-05;0.000186409
mtd_write;49608;411.5;7.03665e-05;0.000186409
mtd_write;49609;411.5;7.03665e-05;0.000186409
mtd_write;49610;411.5;7.03665e-05;0.000186409
mtd_write;49611;411.5;7.03665e-05;0.000186409
mtd_write;49612;411.5;7.03665e-05;0.000186409
mtd_write;49613;411.5;7.03665e-05;0.000186409
mtd_write;49614;411.5;7.03665e-05;0.000186409
mtd_write;49615;411.5;7.03665e-05;0.000186409
mtd_write;49616;411.5;7.03665e-05;0.000186409
mtd_write;49617;411.5;7.03665e-05;0.000186409
mtd_write;49618;411.5;7.03665e-05;0.000186409
mtd_write;49619;411.5;7.03665e-05;0.000186409
mtd_write;49620;411.5;7.03665e-05;0.000186409
mtd_write;49621;411.5;7.03665e-05;0.000186409
mtd_write;49622;411.5;7.03665e-05;0.000186409
mtd_write;49623;411.5;7.03665e-05;0.000186409
mtd_write;49624;411.5;7.03665e-05;0.000186409
mtd_write;49625;411.5;7.03665e-05;0.000186409
mtd_write;49626;411.5;7.03665e-05;0.000186409
mtd_write;49627;411.5;7.03665e-05;0.000186409
mtd_write;49628;411.5;7.03665e-05;0.000186409
mtd_write;49629;411.5;7.03665e-05;0.000186409
mtd_write;49630;411.5;7.03665e-05;0.000186409
mtd_write;49631;411.5;7.03665e-05;0.000186409
mtd_write;49632;411.5;7.03665e-05;0.000186409
mtd_write;49633;411.5;7.03665e-05;0.000186409
mtd_write;49634;411.5;7.03665e-05;0.000186409
mtd_write;49635;411.5;7.03665e-05;0.000186409
mtd_write;49636;411.5;7.03665e-05;0.000186409
mtd_write;49637;411.5;7.03665e-05;0.000186409
mtd_write;49638;411.5;7.03665e-05;0.000186409
mtd_write;49639;411.5;7.03665e-05;0.000186409
mtd_write;49640;411.5;7.03665e-05;0.000186409
mtd_write;49641;411.5;7.03665e-05;0.000186409
mtd_write;49642;411.5;7.03665e-05;0.000186409
mtd_write;49643;411.5;7.03665e-05;0.000186409
mtd_write;49644;411.5;7.03665e-05;0.000186409
mtd_write;49645;411.5;7.03665e-05;0.000186409
mtd_write;49646;411.5;7.03665e-05;0.000186409
mtd_write;49647;411.5;7.03665e-05;0.000186409
mtd_write;49648;411.5;7.03665e-05;0.000186409
mtd_write;49649;411.5;7.03665e-05;0.000186409
mtd_write;49650;411.5;7.03665e-05;0.000186409
mtd_write;49651;411.5;7.03665e-05;0.000186409
mtd_write;49652;411.5;7.03665e-05;0.000186409
mtd_write;49653;411.5;7.03665e-05;0.000186409
mtd_write;49654;411.5;7.03665e-05;0.000186409
mtd_write;49655;411.5;7.03665e-05;0.000186409
mtd_write;49656;411.5;7.03665e-05;0.000186409
mtd_write;49657;411.5;7.03665e-05;0.000186409
mtd_write;49658;411.5;7.03665e-05;0.000186409
mtd_write;49659;411.5;7.03665e-05;0.000186409
mtd_write;49660;411.5;7.03665e-05;0.000186409
mtd_write;49661;411.5;7.03665e-05;0.000186409
mtd_write;49662;411.5;7.03665e-05;0.000186409
mtd_write;49663;411.5;7.03665e-05;0.000186409
mtd_write;49536;411.5;7.03665e-05;0.000186409
mtd_write;49537;411.5;7.03665e-05;0.000186409
mtd_write;49538;411.5;7.03665e-05;0.000186409
mtd_write;49539;411.5;7.03665e-05;0.000186409
mtd_write;49540;411.5;7.03665e-05;0.000186409
mtd_write;49541;411.5;7.03665e-05;0.000186409
mtd_write;49542;411.5;7.03665e-05;0.000186409
mtd_write;49543;411.5;7.03665e-05;0.000186409
mtd_write;49544;411.5;7.03665e-05;0.000186409
mtd_write;49545;411.5;7.03665e-05;0.000186409
mtd_write;49546;411.5;7.03665e-05;0.000186409
mtd_write;49547;411.5;7.03665e-05;0.000186409
mtd_write;49548;411.5;7.03665e-05;0.000186409
mtd_write;49549;411.5;7.03665e-05;0.000186409
mtd_write;49550;411.5;7.03665e-05;0.000186409
mtd_write;49551;411.5;7.03665e-05;0.000186409
mtd_write;49552;411.5;7.03665e-05;0.000186409
mtd_write;49553;411.5;7.03665e-05;0.000186409
mtd_write;49554;411.5;7.03665e-05;0.000186409
mtd_write;49555;411.5;7.03665e-05;0.000186409
mtd_write;49556;411.5;7.03665e-05;0.000186409
mtd_write;49557;411.5;7.03665e-05;0.000186409
mtd_write;49558;411.5;7.03665e-05;0.000186409
mtd_write;49559;411.5;7.03665e-05;0.000186409
mtd_write;49560;411.5;7.03665e-05;0.000186409
mtd_write;49561;411.5;7.03665e-05;0.000186409
mtd_write;49562;411.5;7.03665e-05;0.000186409
mtd_write;49563;411.5;7.03665e-05;0.000186409
mtd_write;49564;411.5;7.03665e-05;0.000186409
mtd_write;49565;411.5;7.03665e-05;0.000186409
mtd_write;49566;411.5;7.03665e-05;0.000186409
mtd_write;49567;411.5;7.03665e-05;0.000186409
mtd_write;49568;411.5;7.03665e-05;0.000186409
mtd_write;49569;411.5;7.03665e-05;0.000186409
mtd_write;49570;411.5;7.03665e-05;0.000186409
mtd_write;49571;411.5;7.03665e-05;0.000186409
mtd_write;49572;411.5;7.03665e-05;0.000186409
mtd_write;49573;411.5;7.03665e-05;0.000186409
mtd_write;49574;411.5;7.03665e-05;0.000186409
mtd_write;49575;411.5;7.03665e-05;0.000186409
mtd_write;49576;411.5;7.03665e-05;0.000186409
mtd_write;49577;411.5;7.03665e-05;0.000186409
mtd_write;49578;411.5;7.03665e-05;0.000186409
mtd_write;49579;411.5;7.03665e-05;0.000186409
mtd_write;49580;411.5;7.03665e-05;0.000186409
mtd_write;49581;411.5;7.03665e-05;0.000186409
mtd_write;49582;411.5;7.03665e-05;0.000186409
mtd_write;49583;411.5;7.03665e-05;0.000186409
mtd_write;49584;411.5;7.03665e-05;0.000186409
mtd_write;49585;411.5;7.03665e-05;0.000186409
mtd_write;49586;411.5;7.03665e-05;0.000186409
mtd_write;49587;411.5;7.03665e-05;0.000186409
mtd_write;49588;411.5;7.03665e-05;0.000186409
mtd_write;49589;411.5;7.03665e-05;0.000186409
mtd_write;49590;411.5;7.03665e-05;0.000186409
mtd_write;49591;411.5;7.03665e-05;0.000186409
mtd_write;49592;411.5;7.03665e-05;0.000186409
mtd_write;49593;411.5;7.03665e-05;0.000186409
mtd_write;49594;411.5;7.03665e-05;0.000186409
mtd_write;49595;411.5;7.03665e-05;0.000186409
mtd_write;49596;411.5;7.03665e-05;0.000186409
mtd_write;49597;411.5;7.03665e-05;0.000186409
mtd_write;49598;411.5;7.03665e-05;0.000186409
mtd_write;49599;411.5;7.03665e-05;0.000186409
mtd_write;49472;411.5;7.03665e-05;0.000186409
mtd_write;49473;411.5;7.03665e-05;0.000186409
mtd_write;49474;411.5;7.03665e-05;0.000186409
mtd_write;49475;411.5;7.03665e-05;0.000186409
mtd_write;49476;411.5;7.03665e-05;0.000186409
mtd_write;49477;411.5;7.03665e-05;0.000186409
mtd_write;49478;411.5;7.03665e-05;0.000186409
mtd_write;49479;411.5;7.03665e-05;0.000186409
mtd_write;49480;411.5;7.03665e-05;0.000186409
mtd_write;49481;411.5;7.03665e-05;0.000186409
mtd_write;49482;411.5;7.03665e-05;0.000186409
mtd_write;49483;411.5;7.03665e-05;0.000186409
mtd_write;49484;411.5;7.03665e-05;0.000186409
mtd_write;49485;411.5;7.03665e-05;0.000186409
mtd_write;49486;411.5;7.03665e-05;0.000186409
mtd_write;49487;411.5;7.03665e-05;0.000186409
mtd_write;49488;411.5;7.03665e-05;0.000186409
mtd_write;49489;411.5;7.03665e-05;0.000186409
mtd_write;49490;411.5;7.03665e-05;0.000186409
mtd_write;49491;411.5;7.03665e-05;0.000186409
mtd_write;49492;411.5;7.03665e-05;0.000186409
mtd_write;49493;411.5;7.03665e-05;0.000186409
mtd_write;49494;411.5;7.03665e-05;0.000186409
mtd_write;49495;411.5;7.03665e-05;0.000186409
mtd_write;49496;411.5;7.03665e-05;0.000186409
mtd_write;49497;411.5;7.03665e-05;0.000186409
mtd_write;49498;411.5;7.03665e-05;0.000186409
mtd_write;49499;411.5;7.03665e-05;0.000186409
mtd_write;49500;411.5;7.03665e-05;0.000186409
