# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;789;9.87995e-317;8.34971e-322
jffs2_readpage;789;9.88155e-317;8.39912e-322
jffs2_readpage;789;9.88032e-317;8.44852e-322
jffs2_readpage;789;9.9274e-317;8.49793e-322
jffs2_readpage;789;9.88014e-317;8.54734e-322
jffs2_readpage;972;9.97835e-317;8.64615e-322
jffs2_readpage;789;9.8675e-317;8.69556e-322
jffs2_readpage;789;9.86642e-317;8.74496e-322
jffs2_readpage;789;9.88206e-317;8.79437e-322
jffs2_readpage;789;9.82387e-317;8.84378e-322
jffs2_readpage;789;9.93691e-317;8.89318e-322
jffs2_readpage;789;9.8567e-317;8.94259e-322
jffs2_readpage;789;9.86995e-317;8.99199e-322
jffs2_readpage;789;9.88111e-317;9.0414e-322
jffs2_readpage;789;9.85388e-317;9.09081e-322
jffs2_readpage;789;9.93662e-317;9.14021e-322
jffs2_readpage;789;9.98035e-317;9.18962e-322
jffs2_readpage;789;9.93654e-317;9.23903e-322
jffs2_readpage;789;9.95264e-317;9.28843e-322
jffs2_readpage;789;9.9607e-317;9.33784e-322
jffs2_readpage;789;9.96094e-317;9.38725e-322
jffs2_readpage;789;9.96125e-317;9.43665e-322
jffs2_readpage;789;9.96055e-317;9.48606e-322
jffs2_readpage;789;1.00416e-316;9.53547e-322
jffs2_readpage;789;9.96258e-317;9.58487e-322
jffs2_readpage;789;9.96287e-317;9.63428e-322
jffs2_readpage;789;9.96322e-317;9.68369e-322
jffs2_readpage;789;9.96164e-317;9.73309e-322
jffs2_readpage;789;9.96408e-317;9.7825e-322
jffs2_readpage;789;1.00399e-316;9.88131e-322
jffs2_readpage;789;9.88641e-317;9.93072e-322
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;12243.9;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.88537e-317;9.98013e-322
jffs2_readpage;789;9.88389e-317;1.00295e-321
jffs2_readpage;789;9.88253e-317;1.00789e-321
jffs2_readpage;789;9.88338e-317;1.01283e-321
